datetime;conductivity;temperature1;temperature 1 corrected;pressure;temperature2;temperature 2 corrected;voltage;Remarks
2024-01-27T20:28:27;0;27.19;27.24;0.007;26.9;27.34;4.034;
2024-01-27T20:28:28;0;27.19;27.24;0.007;26.9;27.34;4.006;
2024-01-27T20:28:28;0;27.17;27.22;-0.001;26.9;27.34;4.002;
2024-01-27T20:28:29;0;27.21;27.26;-0.001;26.9;27.34;4.002;
2024-01-27T20:28:30;0;27.19;27.24;-0.001;26.9;27.34;4;
2024-01-27T20:28:31;0;27.18;27.23;0;26.9;27.34;4.002;
2024-01-27T20:28:31;0;27.19;27.24;-0.002;26.9;27.34;4;
2024-01-27T20:28:32;0;27.18;27.23;0.006;26.9;27.34;4.002;
2024-01-27T20:28:33;0;27.17;27.22;0.002;26.9;27.34;4.002;
2024-01-27T20:28:33;0;27.16;27.21;0.001;26.9;27.34;4.006;
2024-01-27T20:28:34;0;27.16;27.21;0.002;26.9;27.34;4.002;
2024-01-27T20:28:35;0;27.17;27.22;-0.003;26.9;27.34;4;
2024-01-27T20:28:36;0;27.15;27.2;0;26.9;27.34;4.002;
2024-01-27T20:28:36;0;27.16;27.21;0.004;26.9;27.34;4.002;
2024-01-27T20:28:37;0;27.16;27.21;0.002;26.9;27.34;4;
2024-01-27T20:28:38;0;27.15;27.2;0;26.9;27.34;4.006;
2024-01-27T20:28:39;0;27.15;27.2;-0.002;26.8;27.24;4.006;
2024-01-27T20:28:39;0;27.13;27.18;0.001;26.8;27.24;4.002;
2024-01-27T20:28:40;0;27.15;27.2;0.001;26.8;27.24;4.006;
2024-01-27T20:28:41;0;27.16;27.21;0.005;26.8;27.24;4.002;
2024-01-27T20:28:42;0;27.16;27.21;0;26.8;27.24;4.002;
2024-01-27T20:28:42;0;27.16;27.21;0.005;26.8;27.24;4.002;
2024-01-27T20:28:43;0;27.15;27.2;0.001;26.8;27.24;3.996;
2024-01-27T20:28:44;0;27.16;27.21;0.004;26.8;27.24;3.996;
2024-01-27T20:28:45;0;27.19;27.24;-0.002;26.8;27.24;3.994;
2024-01-27T20:28:45;0;27.18;27.23;-0.002;26.8;27.24;3.994;
2024-01-27T20:28:46;0;27.19;27.24;0.003;26.8;27.24;3.992;
2024-01-27T20:28:47;0;27.21;27.26;0.006;26.8;27.24;3.998;
2024-01-27T20:28:47;0;27.2;27.25;-0.006;26.8;27.24;3.996;
2024-01-27T20:28:48;0;27.19;27.24;-0.001;26.8;27.24;3.996;
2024-01-27T20:28:49;0;27.22;27.27;0.002;26.8;27.24;3.996;
2024-01-27T20:28:50;0;27.2;27.25;0.008;26.8;27.24;3.996;
2024-01-27T20:28:50;0;27.22;27.27;0.003;26.8;27.24;3.996;
2024-01-27T20:28:51;0;27.25;27.3;0.005;26.8;27.24;3.996;
2024-01-27T20:28:52;0;27.23;27.28;0.005;26.8;27.24;3.996;
2024-01-27T20:28:53;0;27.2;27.25;-0.001;26.8;27.24;3.994;
2024-01-27T20:28:53;0;27.22;27.27;0.001;26.8;27.24;3.994;
2024-01-27T20:28:54;0;27.21;27.26;0.006;26.8;27.24;3.994;
2024-01-27T20:28:55;0;27.21;27.26;-0.001;26.8;27.24;3.994;
2024-01-27T20:28:56;0;27.2;27.25;0.001;26.8;27.24;3.992;
2024-01-27T20:28:56;0;27.18;27.23;0.001;26.8;27.24;3.994;
2024-01-27T20:28:57;0;27.21;27.26;0.002;26.8;27.24;3.992;
2024-01-27T20:28:58;0;27.19;27.24;0.003;26.8;27.24;3.992;
2024-01-27T20:28:58;0;27.19;27.24;0.004;26.8;27.24;3.994;
2024-01-27T20:28:59;0;27.18;27.23;0.003;26.8;27.24;3.996;
2024-01-27T20:29:00;0;27.19;27.24;-0.002;26.8;27.24;3.996;
2024-01-27T20:29:01;0;27.17;27.22;0.005;26.8;27.24;3.994;
2024-01-27T20:29:01;0;27.19;27.24;-0.003;26.8;27.24;3.994;
2024-01-27T20:29:02;0;27.18;27.23;0.002;26.8;27.24;3.992;
2024-01-27T20:29:03;0;27.2;27.25;0.004;26.8;27.24;3.992;
2024-01-27T20:29:04;0;27.19;27.24;-0.001;26.8;27.24;3.992;
2024-01-27T20:29:04;0;27.16;27.21;0.007;26.8;27.24;3.994;
2024-01-27T20:29:05;0;27.18;27.23;0.009;26.8;27.24;3.992;
2024-01-27T20:29:06;0;27.18;27.23;-0.001;26.8;27.24;3.994;
2024-01-27T20:29:07;0;27.16;27.21;0.004;26.8;27.24;3.994;
2024-01-27T20:29:07;0;27.18;27.23;0;26.8;27.24;4.002;
2024-01-27T20:29:08;0;27.17;27.22;0;26.8;27.24;4.002;
2024-01-27T20:29:09;0;27.17;27.22;0.003;26.8;27.24;4.002;
2024-01-27T20:29:10;0;27.16;27.21;0.002;26.8;27.24;4.002;
2024-01-27T20:29:10;0;27.18;27.23;0.003;26.8;27.24;4.006;
2024-01-27T20:29:11;0;27.18;27.23;0.004;26.8;27.24;4.002;
2024-01-27T20:29:12;0;27.23;27.28;0.004;26.8;27.24;4.002;
2024-01-27T20:29:12;0;27.21;27.26;0.002;26.8;27.24;4.002;
2024-01-27T20:29:13;0;27.2;27.25;0.002;26.8;27.24;4.002;
2024-01-27T20:29:14;0;27.23;27.28;0;26.8;27.24;4.002;
2024-01-27T20:29:15;0;27.25;27.3;0.001;26.8;27.24;4;
2024-01-27T20:29:15;0;27.23;27.28;0.001;26.8;27.24;4;
2024-01-27T20:29:16;0;27.22;27.27;0.004;26.8;27.24;4.002;
2024-01-27T20:29:17;0;27.2;27.25;0;26.8;27.24;4;
2024-01-27T20:29:18;0;27.23;27.28;0.004;26.8;27.24;4;
2024-01-27T20:29:18;0;27.2;27.25;0.004;26.8;27.24;4;
2024-01-27T20:29:19;0;27.21;27.26;-0.005;26.8;27.24;3.998;
2024-01-27T20:29:20;0;27.21;27.26;0.002;26.8;27.24;4.002;
2024-01-27T20:29:21;0;27.21;27.26;0.001;26.8;27.24;4.002;
2024-01-27T20:29:21;0;27.18;27.23;0.001;26.8;27.24;4.002;
2024-01-27T20:29:22;0;27.19;27.24;0.004;26.8;27.24;4.002;
2024-01-27T20:29:23;0;27.18;27.23;-0.003;26.8;27.24;4.002;
2024-01-27T20:29:24;0;27.19;27.24;-0.001;26.8;27.24;4.002;
2024-01-27T20:29:24;0;27.21;27.26;-0.004;26.8;27.24;4.002;
2024-01-27T20:29:25;0;27.18;27.23;0.001;26.8;27.24;4.002;
2024-01-27T20:29:26;0;27.19;27.24;0;26.8;27.24;4.002;
2024-01-27T20:29:26;0;27.22;27.27;-0.002;26.8;27.24;4.006;
2024-01-27T20:29:27;0;27.21;27.26;0.002;26.8;27.24;4.008;
2024-01-27T20:29:28;0;27.19;27.24;-0.001;26.8;27.24;4.006;
2024-01-27T20:29:29;0;27.23;27.28;-0.003;26.8;27.24;4.002;
2024-01-27T20:29:29;0;27.23;27.28;0.002;26.8;27.24;4.002;
2024-01-27T20:29:30;0;27.25;27.3;0.001;26.8;27.24;4.002;
2024-01-27T20:29:31;0;27.24;27.29;-0.006;26.8;27.24;4.002;
2024-01-27T20:29:32;0;27.22;27.27;0;26.8;27.24;4.002;
2024-01-27T20:29:32;0;27.21;27.26;0.001;26.8;27.24;4.002;
2024-01-27T20:29:33;0;27.22;27.27;0.003;26.7;27.14;4.008;
2024-01-27T20:29:34;0;27.2;27.25;0.001;26.7;27.14;3.98;
2024-01-27T20:29:35;0;27.19;27.24;0.006;26.7;27.14;3.852;
